Timestamp,cpu,memory,cpu_temperature,arm_clock,total_cpu,throttled_status_under_voltage,throttled_status_currently_throttled,throttled_status_freq_capped,throttled_status_under_voltage_occurred,throttled_status_throttling_occurred,throttled_status_freq_capped_occurred,color,age,watchdog,apache_active,temp,humidity,weather,apache2metrics_TotalAccesses,apache2metrics_TotalkBytes,apache2metrics_BusyWorkers,apache2metrics_IdleWorkers,apache2metrics_Processes,apache2metrics_ConnsTotal,apache2metrics_DurationPerReq,apache2metrics_Load1,apache2metrics_Load5,apache2metrics_ServerUptime,health,performance,no,clock
2024-12-05 23:09:21,9.6,49.3,58.0,1400.0,126.0,False,False,False,False,False,False,#285d47,"14d, 11h, 9m, 20s",True,True,-7.13,68,few clouds,6,4,1,49,2,0,2.5,0.66,1.21,0d 0h 1m 24s,good,good,1,max
2024-12-05 23:09:31,12.4,49.3,58.0,1400.0,168.0,False,False,False,False,False,False,#29021a,"14d, 11h, 9m, 30s",True,True,-7.13,68,few clouds,7,5,1,49,2,0,2.28571,0.64,1.18,0d 0h 1m 34s,good,good,1,max
2024-12-05 23:09:41,6.3,48.3,58.5,1400.0,84.0,False,False,False,False,False,False,#545b47,"14d, 11h, 9m, 40s",True,True,-7.13,68,few clouds,8,6,1,49,2,0,2.25,0.84,1.21,0d 0h 1m 44s,good,good,1,max
2024-12-05 23:09:51,11.0,47.2,58.0,1400.0,154.0,False,False,False,False,False,False,#545338,"14d, 11h, 9m, 50s",True,True,-7.13,68,few clouds,9,7,1,49,2,0,2.11111,0.71,1.17,0d 0h 1m 54s,good,good,1,max
2024-12-05 23:10:01,27.8,77.4,60.1,1400.0,378.0,False,False,False,False,False,False,#275162,"14d, 11h, 10m, 0s",True,True,-7.13,68,few clouds,10,8,1,49,2,0,2,0.76,1.16,0d 0h 2m 4s,good,good,1,max
2024-12-05 23:10:11,29.5,71.3,60.1,1400.0,406.0,False,False,False,False,False,False,#084a59,"14d, 11h, 10m, 10s",True,True,-7.13,68,few clouds,11,9,1,49,2,0,10.5455,1.24,1.26,0d 0h 2m 14s,good,good,1,max
2024-12-05 23:10:21,49.4,77.7,61.8,1400.0,686.0,False,False,False,False,False,False,#2d3110,"14d, 11h, 10m, 20s",True,True,-7.13,68,few clouds,12,9,1,49,2,0,9.75,1.72,1.36,0d 0h 2m 24s,medium,bad,2,max
2024-12-05 23:10:31,29.8,77.5,61.2,1400.0,406.0,False,False,False,False,False,False,#463003,"14d, 11h, 10m, 30s",True,True,-7.13,68,few clouds,13,10,1,49,2,0,9.15385,2.13,1.46,0d 0h 2m 34s,medium,bad,2,max
2024-12-05 23:10:41,32.2,70.6,61.2,1400.0,448.0,False,False,False,False,False,False,#35573c,"14d, 11h, 10m, 40s",True,True,-7.13,68,few clouds,14,11,1,49,2,0,8.57143,2.56,1.58,0d 0h 2m 44s,medium,bad,2,max
2024-12-05 23:10:51,50.5,77.6,61.8,1400.0,700.0,False,False,False,False,False,False,#542015,"14d, 11h, 10m, 50s",True,True,-7.13,68,few clouds,15,12,1,49,2,0,8.06667,2.76,1.66,0d 0h 2m 54s,medium,bad,2,max
2024-12-05 23:11:01,53.7,75.1,62.3,1400.0,742.0,False,False,False,False,False,False,#5a1811,"14d, 11h, 11m, 0s",True,True,-7.13,68,few clouds,16,13,1,49,2,0,7.6875,3.08,1.77,0d 0h 3m 4s,medium,bad,2,max
