Timestamp,cpu,cpu_temperature,memory,apache2metrics_BusyWorkers,apache2metrics_Load1,apache2metrics_DurationPerReq,health,performance,no,clock
2024-12-06 00:50:46,4.1,57.5,47.7,1,2.44,3.53333,medium,good,1,max
2024-12-06 00:50:56,4.6,56.9,44.6,1,2.36,3.50549,medium,good,1,max
2024-12-06 00:51:06,2.8,58.0,45.2,1,2.36,3.47826,medium,good,1,max
2024-12-06 00:51:16,49.0,59.1,43.2,1,2.38,3.46237,medium,good,1,max
2024-12-06 00:51:27,3.8,58.5,42.8,1,3.63,3.43617,medium,good,1,max
2024-12-06 00:51:43,4.5,59.1,48.0,1,5.88,3.41053,medium,good,1,max
2024-12-06 00:51:46,2.3,58.0,47.8,1,5.88,3.38542,good,bad,2,max
2024-12-06 00:51:57,3.1,59.1,53.6,1,7.9,3.37113,good,bad,2,max
2024-12-06 00:52:06,6.2,59.1,46.0,1,7.66,3.35714,good,bad,2,max
2024-12-06 00:52:16,6.3,59.1,45.4,1,6.71,3.33333,good,bad,2,max
2024-12-06 00:52:26,0.5,58.5,46.0,1,5.68,3.33,good,bad,2,max
2024-12-06 00:52:36,2.2,59.1,46.2,1,4.81,3.30693,good,bad,2,max
2024-12-06 00:52:46,1.8,58.0,45.9,1,4.07,3.28431,good,bad,2,max
2024-12-06 00:52:56,2.5,58.0,46.0,1,3.44,3.26214,good,bad,3,max
2024-12-06 00:53:06,2.0,58.5,46.0,1,2.99,3.24038,good,bad,3,max
2024-12-06 00:53:16,2.5,58.5,45.5,1,2.53,3.21905,good,bad,3,max
2024-12-06 00:53:26,5.2,56.9,46.1,1,2.14,3.19811,good,bad,3,max
2024-12-06 00:53:46,2.5,58.0,46.4,1,1.53,1,good,bad,3,max
2024-12-06 00:53:59,17.4,58.0,72.4,1,2.63,1.5,good,good,2,max
2024-12-06 00:54:07,1.8,58.0,74.0,1,2.92,2,good,good,2,max
2024-12-06 00:54:38,4.1,59.1,66.1,1,10.99,85,good,good,2,max
2024-12-06 00:54:42,52.1,60.7,59.8,1,10.99,77.6,good,good,2,max
2024-12-06 00:54:46,30.7,60.1,68.8,1,10.43,65,good,good,2,max
2024-12-06 00:54:56,35.0,60.7,68.0,1,9.22,56,medium,bad,3,max
2024-12-06 00:55:08,4.3,60.1,67.8,1,7.88,49.25,medium,bad,3,max
2024-12-06 00:55:16,6.8,60.1,89.1,1,8.21,45.5556,medium,bad,3,max
2024-12-06 00:55:26,38.3,61.2,66.2,1,7.1,41.2,medium,bad,3,max
2024-12-06 00:55:36,36.4,62.3,66.6,1,6.4,37.5455,medium,bad,3,max
2024-12-06 00:55:46,45.6,62.3,66.3,1,5.65,34.5833,medium,bad,3,max
2024-12-06 00:55:56,53.3,63.4,66.4,1,5.3,32,medium,bad,4,max
2024-12-06 00:56:06,57.8,63.9,66.9,1,4.8,29.7857,medium,bad,4,max
2024-12-06 00:56:16,30.3,63.4,67.3,1,4.68,27.9333,medium,bad,4,max
2024-12-06 00:56:26,60.0,62.8,60.4,1,5.34,26.25,medium,bad,4,max
2024-12-06 00:56:36,58.6,64.5,66.0,1,5.05,24.7647,medium,bad,4,max
2024-12-06 00:56:46,38.2,63.4,65.4,1,4.75,23.5,medium,bad,4,max
2024-12-06 00:56:57,63.4,65.0,66.0,1,4.94,22.3158,medium,bad,4,max
2024-12-06 00:57:06,54.8,63.9,47.2,1,4.8,21.25,medium,bad,4,max
2024-12-06 00:57:16,72.7,65.5,66.1,1,4.77,20.3333,medium,bad,4,max
2024-12-06 00:57:26,69.3,66.1,66.1,1,4.42,19.4545,medium,bad,4,max
2024-12-06 00:57:43,74.2,65.5,50.2,1,6.04,18.6957,medium,bad,4,max
2024-12-06 00:57:46,70.5,66.6,39.7,1,6.04,18.125,medium,bad,4,max
2024-12-06 00:57:56,70.7,67.1,42.5,1,5.63,17.44,medium,bad,4,max
2024-12-06 00:58:06,62.7,67.1,44.0,1,5.07,16.8077,medium,bad,4,max
2024-12-06 00:58:16,77.3,67.7,36.8,1,4.52,16.2593,medium,bad,4,max
2024-12-06 00:58:26,75.1,67.7,56.1,1,4.37,15.7143,medium,bad,4,max
2024-12-06 00:58:36,81.1,69.3,53.6,1,4.08,15.2069,medium,bad,4,max
2024-12-06 00:58:46,74.2,69.3,63.2,1,3.76,14.7667,medium,bad,4,max
2024-12-06 00:58:56,73.1,69.3,53.1,1,3.8,14.3226,medium,bad,4,max
2024-12-06 00:59:06,82.9,69.8,37.6,1,3.98,13.9063,medium,bad,4,max
2024-12-06 00:59:16,79.9,70.9,47.2,1,4.36,13.5455,medium,bad,4,max
2024-12-06 00:59:26,80.2,70.9,50.1,1,4.31,13.1765,medium,bad,4,max
2024-12-06 00:59:37,84.1,70.9,45.9,1,4.34,12.8286,medium,bad,4,max
2024-12-06 00:59:46,84.3,71.4,63.8,1,4.29,12.5278,medium,bad,4,max
2024-12-06 00:59:58,88.3,68.8,63.0,1,5.0,12.2162,critical,bad,4,min
2024-12-06 01:00:06,92.5,69.3,62.9,1,5.08,12.2895,critical,bad,4,min
2024-12-06 01:00:16,89.6,68.8,63.0,1,5.08,12.0256,critical,bad,4,min
2024-12-06 01:00:26,92.5,67.7,63.2,1,4.92,11.8,critical,bad,4,min
2024-12-06 01:00:36,76.5,67.7,63.6,1,5.1,11.561,critical,bad,4,min
2024-12-06 01:00:46,91.5,67.7,63.7,1,5.25,11.3571,critical,bad,4,min
2024-12-06 01:00:56,83.8,69.3,63.3,1,5.06,11.1395,medium,bad,4,max
2024-12-06 01:01:06,84.3,70.9,63.9,1,4.9,10.9318,medium,bad,4,max
2024-12-06 01:01:16,86.6,70.9,63.4,1,4.83,10.7111,medium,bad,4,max
2024-12-06 01:01:26,85.6,70.9,36.0,1,4.86,10.5217,medium,bad,4,max
2024-12-06 01:01:36,87.4,70.9,65.3,1,4.96,10.3191,medium,bad,4,max
2024-12-06 01:01:46,86.6,72.0,62.7,1,4.96,10.125,medium,bad,4,max
2024-12-06 01:01:56,93.3,70.4,62.6,1,5.2,9.93878,critical,bad,4,min
2024-12-06 01:02:06,92.5,69.8,63.2,1,4.95,9.78,critical,bad,4,min
2024-12-06 01:02:16,92.9,68.8,62.8,1,5.1,9.64706,critical,bad,4,min
2024-12-06 01:02:26,95.0,68.8,62.8,1,5.15,9.53846,critical,bad,4,min
2024-12-06 01:02:36,94.0,68.8,62.8,1,5.2,9.39623,critical,bad,4,min
2024-12-06 01:02:47,94.8,68.8,63.3,1,5.17,9.25926,critical,bad,4,min
2024-12-06 01:02:56,85.3,69.8,42.6,1,5.29,9.12727,medium,bad,4,max
2024-12-06 01:03:06,82.2,70.4,62.9,1,5.17,8.98214,medium,bad,4,max
2024-12-06 01:03:16,86.3,70.9,62.1,1,5.14,8.8421,medium,bad,4,max
2024-12-06 01:03:26,84.6,72.0,35.4,1,4.97,8.72414,medium,bad,4,max
2024-12-06 01:03:46,87.8,70.9,61.7,1,4.31,8.48333,medium,bad,4,max
2024-12-06 01:03:56,94.5,69.8,61.7,1,4.34,8.36066,critical,bad,4,min
2024-12-06 01:04:06,87.2,69.3,61.7,1,4.52,8.27419,critical,bad,4,min
2024-12-06 01:04:16,89.5,68.8,61.8,1,4.68,8.1746,critical,bad,4,min
2024-12-06 01:04:26,90.1,67.7,61.7,1,4.65,8.07813,critical,bad,4,min
2024-12-06 01:04:36,94.0,67.7,62.2,1,4.79,7.98462,critical,bad,4,min
2024-12-06 01:04:46,91.7,68.2,61.7,1,4.59,7.89394,critical,bad,4,min
2024-12-06 01:04:56,84.2,68.8,61.9,1,4.59,7.8209,medium,bad,4,max
2024-12-06 01:05:06,85.8,69.8,62.8,1,4.5,7.72059,medium,bad,4,max
2024-12-06 01:05:16,85.2,69.8,61.9,1,4.34,7.63768,medium,bad,4,max
2024-12-06 01:05:26,83.8,70.9,62.0,1,4.29,7.54286,medium,bad,4,max
2024-12-06 01:05:36,84.4,70.9,62.7,1,4.54,7.57746,medium,bad,4,max
2024-12-06 01:05:46,86.8,70.9,62.2,1,4.75,7.5,medium,bad,4,max
2024-12-06 01:05:56,90.7,69.8,61.6,1,4.85,7.41096,critical,bad,4,min
2024-12-06 01:06:06,93.5,69.3,61.4,1,5.11,7.33784,critical,bad,4,min
2024-12-06 01:06:16,89.7,68.8,61.4,1,5.31,7.28,critical,bad,4,min
2024-12-06 01:06:26,88.4,68.2,61.4,1,5.03,7.21053,critical,bad,4,min
2024-12-06 01:06:36,91.5,67.7,61.9,1,5.26,7.14286,critical,bad,4,min
2024-12-06 01:06:46,86.6,67.1,61.9,1,5.38,7.08974,critical,bad,4,min
2024-12-06 01:06:56,88.1,69.3,61.5,1,5.47,7.03797,medium,bad,4,max
2024-12-06 01:07:06,83.8,70.4,61.5,1,5.49,6.9625,medium,bad,4,max
2024-12-06 01:07:16,83.0,69.8,61.6,1,5.41,6.90123,medium,bad,4,max
2024-12-06 01:07:26,83.1,70.9,61.8,1,5.41,6.82927,medium,bad,4,max
2024-12-06 01:07:36,86.9,70.9,61.7,1,5.51,6.77108,medium,bad,4,max
2024-12-06 01:07:46,84.8,70.9,62.1,1,5.43,6.70238,medium,bad,4,max
2024-12-06 01:07:56,91.4,69.3,61.8,1,5.36,6.64706,critical,bad,4,min
2024-12-06 01:08:06,90.2,69.3,61.8,1,5.62,6.59302,critical,bad,4,min
2024-12-06 01:08:16,83.9,68.8,61.9,1,5.37,6.55172,critical,bad,4,min
2024-12-06 01:08:26,89.4,68.8,62.8,1,5.77,6.5,critical,bad,4,min
2024-12-06 01:08:36,90.6,68.8,62.8,1,5.49,6.44944,critical,bad,4,min
2024-12-06 01:08:46,89.8,67.7,62.0,1,5.34,6.41111,critical,bad,4,min
2024-12-06 01:08:56,87.2,69.3,62.1,1,5.29,6.36264,medium,bad,4,max
2024-12-06 01:09:06,84.7,70.4,62.0,1,5.16,6.30435,medium,bad,4,max
2024-12-06 01:09:16,82.5,70.4,62.1,1,5.28,6.24731,medium,bad,4,max
2024-12-06 01:09:26,85.1,71.4,62.7,1,5.08,6.20213,medium,bad,4,max
2024-12-06 01:09:36,83.6,70.9,62.6,1,5.07,6.14737,medium,bad,4,max
2024-12-06 01:09:46,85.9,71.4,63.3,1,5.31,6.09375,medium,bad,4,max
2024-12-06 01:09:56,92.1,70.4,62.2,1,5.5,6.04124,critical,bad,4,min
2024-12-06 01:10:06,89.5,69.3,61.8,1,5.42,6.0102,critical,bad,4,min
2024-12-06 01:10:16,94.5,68.8,61.6,1,5.13,5.9697,critical,bad,4,min
2024-12-06 01:10:26,91.0,68.8,61.5,1,5.03,5.93,critical,bad,4,min
