Timestamp,CPU Usage (%),Memory Usage (%),CPU Temp (°C),Weather Temp (°C),Humidity (%),Weather Description,ReqPerSec,Average Latency (ms),Anomaly Label,CPU Threshold Upper,Memory Threshold Upper
2024-11-28 02:25:36.490221,13.41666666666667,66.13147455065116,N/A,0.49,96,overcast clouds,6.85116,1.8203589999999998,1,86,86
2024-11-28 02:25:46.602963,11.483333333333333,66.20579945477469,N/A,0.49,96,overcast clouds,6.90389,1.517946,1,86,86
2024-11-28 02:25:55.768127,21.78333333333333,66.28292969497745,N/A,0.49,96,overcast clouds,6.95766,1.502934,1,86,86
2024-11-28 02:26:06.068735,34.666666666666664,66.54831448807568,N/A,0.49,96,overcast clouds,7.00143,1.316861,1,86,86
2024-11-28 02:26:16.280044,49.833333333333336,66.3603569707651,N/A,0.49,96,overcast clouds,7.04772,1.413089,1,86,86
2024-11-28 02:26:24.904349,65.83333333333333,66.21167415856421,N/A,0.49,96,overcast clouds,7.0749,1.475873,-1,81,81
2024-11-28 02:26:36.286020,80.88333333333333,66.45979788378649,N/A,0.49,96,overcast clouds,7.16908,1.25237,-1,81,81
2024-11-28 02:26:56.372322,96.41666666666667,66.5660706152597,N/A,0.49,96,overcast clouds,7.32946,0.6611079999999999,-1,81,81
2024-11-28 02:27:25.056379,96.94999999999999,66.5664666627062,N/A,0.49,96,overcast clouds,8.08406,0.249595,-1,81,81
2024-11-28 02:27:50.186328,84.41666666666666,66.41742080701268,N/A,0.49,96,overcast clouds,8.74991,0.238536,1,82,82
2024-11-28 02:28:00.302370,71.28333333333335,66.11051703994139,N/A,0.49,96,overcast clouds,9.06181,0.41344,1,82,82
2024-11-28 02:28:11.356167,55.400000000000006,65.82698007221265,N/A,0.49,96,overcast clouds,9.04037,0.485171,1,82,82
