Timestamp,CPU Usage (%),Memory Usage (%),CPU Temp (°C),Weather Temp (°C),Humidity (%),Weather Description,ReqPerSec,Average Latency (ms)
2024-11-25 12:41:04.535099,10.2,46.712806194182065,N/A,5.43,88,overcast clouds,0,0.740409
2024-11-25 12:41:13.358495,2.4,47.05835759123943,N/A,5.45,88,overcast clouds,.0555556,0.740409
2024-11-25 12:41:23.449181,2.1,22.764609200182182,N/A,5.45,88,overcast clouds,.0714286,0.740409
2024-11-25 12:41:33.635981,0.8,8.684726430226341,N/A,5.45,88,overcast clouds,.0789474,0.740409
2024-11-25 12:41:43.754455,0.2,8.545515752787184,N/A,5.79,87,overcast clouds,.0833333,0.740409
2024-11-25 12:41:52.625314,0.1,8.454028792649359,N/A,5.79,87,overcast clouds,.0877193,0.740409
2024-11-25 12:42:02.707293,0.2,8.555218915226044,N/A,5.79,87,overcast clouds,.0895522,0.740409
2024-11-25 12:42:12.799445,0.1,8.48987108655617,N/A,5.79,87,overcast clouds,.0909091,0.740409
2024-11-25 12:42:21.774744,0.0,8.589477019346917,N/A,5.79,87,overcast clouds,.0930233,0.740409
2024-11-25 12:42:31.868957,0.0,8.588288877007466,N/A,5.79,87,overcast clouds,.09375,0.740409
2024-11-25 12:42:41.996658,0.1,8.594823659874454,N/A,5.79,87,overcast clouds,.0943396,0.740409
2024-11-25 12:42:50.888944,0.1,8.593635517535,N/A,5.79,87,overcast clouds,.0956522,0.740409
2024-11-25 12:43:00.974594,0.1,8.59165528030258,N/A,5.79,87,overcast clouds,.096,0.740409
2024-11-25 12:43:11.161871,0.0,8.500762391334481,N/A,5.79,87,overcast clouds,.0962963,0.739409
2024-11-25 12:43:19.981724,0.1,8.60036832412523,N/A,5.79,87,overcast clouds,.0972222,0.7401041041041041
2024-11-25 12:43:30.089702,0.1,8.496801916869641,N/A,5.79,87,overcast clouds,.0974026,0.739934869739479
2024-11-25 12:43:40.191277,0.1,8.639378997603913,N/A,5.79,87,overcast clouds,.097561,0.7399689067201605
2024-11-25 12:43:49.075660,0.2,8.537000732687776,N/A,5.79,87,overcast clouds,.0982659,0.7405803212851406
2024-11-25 12:43:59.268324,0.1,8.637398760371493,N/A,5.79,87,overcast clouds,.0983607,0.740332663316583
2024-11-25 12:44:09.356183,0.2,8.536604685241292,N/A,5.79,87,overcast clouds,.0979381,0.7403661971830986
2024-11-25 12:44:19.512956,0.1,8.738588882948177,N/A,5.79,87,overcast clouds,.0980392,0.740963746223565
2024-11-25 12:44:28.320120,0.1,8.73779678805521,N/A,5.79,87,overcast clouds,.0985916,0.7409415322580645
2024-11-25 12:44:38.402599,0.1,8.742549357413019,N/A,5.79,87,overcast clouds,.0986547,0.7406680121089808
2024-11-25 12:44:48.593043,0.1,8.74175726252005,N/A,5.79,87,overcast clouds,.0987124,0.7412606060606061
2024-11-25 12:44:57.438539,0.2,8.854234737321532,N/A,5.79,87,overcast clouds,.0991736,0.7412618806875633
2024-11-25 12:45:07.529134,0.1,8.871066753797106,N/A,5.79,87,overcast clouds,.0992064,0.741002024291498
2024-11-25 12:45:17.745834,0.1,8.869878611457652,N/A,5.79,87,overcast clouds,.0992366,0.7415957446808511
2024-11-25 12:45:26.559248,0.1,8.868690469118201,N/A,5.79,87,overcast clouds,.099631,0.7421085192697768
2024-11-25 12:45:36.699087,0.1,8.881958058575417,N/A,5.79,87,overcast clouds,.0996441,0.7419208121827411
2024-11-25 12:45:46.841297,0.1,8.881165963682449,N/A,5.79,87,overcast clouds,.0996564,0.7416371951219513
2024-11-25 12:45:55.628430,0.3,8.814035921503397,N/A,5.79,87,overcast clouds,.1,0.7415137334689725
2024-11-25 12:46:05.808493,0.1,8.814629992673122,N/A,5.79,87,overcast clouds,.1,0.740918533604888
2024-11-25 12:46:15.915018,0.2,8.91423592546387,N/A,5.79,87,overcast clouds,.1,0.7415402650356778
2024-11-25 12:46:24.917278,0.1,8.924533159072457,N/A,5.79,87,overcast clouds,.100304,0.7414428571428572
2024-11-25 12:46:35.007185,0.1,8.928097586090814,N/A,5.79,87,overcast clouds,.100295,0.7411501532175689
2024-11-25 12:46:45.105822,0.1,8.927305491197846,N/A,5.79,87,overcast clouds,.100287,0.7417167689161553
2024-11-25 12:46:54.006498,0.1,8.926513396304877,N/A,5.79,87,overcast clouds,.100559,0.742257932446264
2024-11-25 12:47:04.092208,0.1,9.139190875066832,N/A,5.79,87,overcast clouds,.108696,0.7425389344262295
2024-11-25 12:47:14.315606,1.4,9.217410245747441,N/A,5.79,87,overcast clouds,.267196,0.7444174358974359
2024-11-25 12:47:24.462275,1.7,8.895621695479118,N/A,5.79,87,overcast clouds,.447301,0.7469446153846154
2024-11-25 12:47:33.270985,3.3,9.29483752153508,N/A,5.79,87,overcast clouds,.803526,0.7400154004106777
2024-11-25 12:47:43.794405,2.3,8.955622883621459,N/A,5.79,87,overcast clouds,1.11765,0.7295359342915811
2024-11-25 12:47:53.899852,2.8,8.791461217053802,N/A,5.79,87,overcast clouds,1.39234,0.7189989722507708
2024-11-25 12:48:02.696003,2.5,8.610665557733817,N/A,5.79,87,overcast clouds,1.69321,0.7233021582733813
2024-11-25 12:48:12.836101,2.4,8.985722489554249,N/A,5.79,87,overcast clouds,1.95423,0.7229279835390946
2024-11-25 12:48:22.938656,2.4,8.643735519515237,N/A,5.79,87,overcast clouds,2.21477,0.7246230690010299
2024-11-25 12:48:31.779599,2.9,8.909879403552546,N/A,5.79,87,overcast clouds,2.45614,0.7235069999999999
2024-11-25 12:48:41.885285,3.0,9.052060436840334,N/A,5.79,87,overcast clouds,2.75966,0.71896
2024-11-25 12:48:52.004758,3.6,8.921958850670311,N/A,5.79,87,overcast clouds,3.10924,0.722249
2024-11-25 12:49:00.841121,5.1,8.631458048674231,N/A,5.79,87,overcast clouds,3.58969,0.7221989999999999
2024-11-25 12:49:10.948190,5.7,8.814035921503397,N/A,5.79,87,overcast clouds,4.13737,0.7473339999999999
2024-11-25 12:49:21.058026,4.6,8.9558209073447,N/A,5.79,87,overcast clouds,4.52475,0.75828
2024-11-25 12:49:29.879547,6.3,8.700370304362462,N/A,5.79,87,overcast clouds,5.00584,0.783702
2024-11-25 12:49:39.995470,5.9,8.75621299431672,N/A,5.79,87,overcast clouds,5.43893,0.8167369999999999
2024-11-25 12:49:50.092008,5.5,8.617992435493772,N/A,5.79,87,overcast clouds,5.83708,0.81084
2024-11-25 12:50:00.209428,5.1,8.753836709637815,N/A,5.79,87,overcast clouds,6.20588,0.787886
2024-11-25 12:50:09.049871,5.6,8.849680191686964,N/A,5.79,87,overcast clouds,6.6528,0.7609790000000001
2024-11-25 12:50:19.150365,7.3,8.43759282362027,N/A,5.79,87,overcast clouds,7.1119,0.743482
2024-11-25 12:50:29.285642,6.8,8.777005485257133,N/A,5.79,87,overcast clouds,7.60209,0.759758
2024-11-25 12:50:38.205114,8.2,8.460365551793105,N/A,5.79,87,overcast clouds,8.11856,0.792523
2024-11-25 12:50:48.317936,6.2,8.330858036792808,N/A,5.79,87,overcast clouds,8.53885,0.7674030000000001
2024-11-25 12:50:58.412179,7.0,8.898790075050991,N/A,5.79,87,overcast clouds,8.95688,0.771543
2024-11-25 12:51:07.160844,7.9,8.529475831204579,N/A,5.79,87,overcast clouds,9.42881,0.775798
2024-11-25 12:51:17.853780,7.9,8.961959642765203,N/A,5.79,87,overcast clouds,9.87942,0.791257
2024-11-25 12:51:27.948331,6.8,8.747103903047584,N/A,5.79,87,overcast clouds,10.3006,0.786683
2024-11-25 12:51:36.736426,7.3,8.706112992336482,N/A,5.79,87,overcast clouds,10.7457,0.772675
2024-11-25 12:51:46.974699,7.9,8.611259628903543,N/A,5.79,87,overcast clouds,11.149,0.7644930000000001
2024-11-25 12:51:57.573838,7.6,8.585714568605319,N/A,5.79,87,overcast clouds,11.5582,0.7611100000000001
2024-11-25 12:52:06.843032,7.9,8.799184142260243,N/A,5.79,87,overcast clouds,11.9821,0.7584460000000001
2024-11-25 12:52:17.131315,8.6,8.740965167627081,N/A,5.79,87,overcast clouds,12.3906,0.749793
2024-11-25 12:52:27.715153,8.0,8.844135527436187,N/A,5.79,87,overcast clouds,12.7572,0.747316
